date,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_id,keyword_text,match_type,keyword_status,quality_score,creative_quality,landing_page_quality,expected_ctr,max_cpc_bid,final_url,impressions,clicks,cost,conversions,conversions_value,avg_cpc
2025-10-08,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,23706431,roofing company,BROAD,ENABLED,3.0,BELOW_AVERAGE,AVERAGE,BELOW_AVERAGE,,,1,0,0.0,0.0,0.0,
2025-10-09,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,23706431,roofing company,BROAD,ENABLED,3.0,BELOW_AVERAGE,AVERAGE,BELOW_AVERAGE,,,1,0,0.0,0.0,0.0,
2025-10-10,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,10940511,roofing contractor,BROAD,ENABLED,2.0,AVERAGE,BELOW_AVERAGE,BELOW_AVERAGE,,,16,0,0.0,0.0,0.0,
2025-10-10,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,23706431,roofing company,BROAD,ENABLED,3.0,BELOW_AVERAGE,AVERAGE,BELOW_AVERAGE,,,25,0,0.0,0.0,0.0,
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,10940511,roofing contractor,BROAD,ENABLED,2.0,AVERAGE,BELOW_AVERAGE,BELOW_AVERAGE,,,24,0,0.0,0.0,0.0,
2025-10-11,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,23706431,roofing company,BROAD,ENABLED,3.0,BELOW_AVERAGE,AVERAGE,BELOW_AVERAGE,,,38,2,4.66,0.0,0.0,2.33
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,10940511,roofing contractor,BROAD,ENABLED,2.0,AVERAGE,BELOW_AVERAGE,BELOW_AVERAGE,,,63,0,0.0,0.0,0.0,
2025-10-12,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,23706431,roofing company,BROAD,ENABLED,3.0,BELOW_AVERAGE,AVERAGE,BELOW_AVERAGE,,,69,0,0.0,0.0,0.0,
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,10940511,roofing contractor,BROAD,ENABLED,2.0,AVERAGE,BELOW_AVERAGE,BELOW_AVERAGE,,,29,2,22.74,0.0,0.0,11.37
2025-10-13,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,23706431,roofing company,BROAD,ENABLED,3.0,BELOW_AVERAGE,AVERAGE,BELOW_AVERAGE,,,39,8,177.231662,0.0,0.0,22.15395775
2025-10-14,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,10940511,roofing contractor,BROAD,ENABLED,2.0,AVERAGE,BELOW_AVERAGE,BELOW_AVERAGE,,,127,2,17.11,0.0,0.0,8.555
2025-10-14,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,22541041,commercial roofing,BROAD,ENABLED,,,,,,,1,0,0.0,0.0,0.0,
2025-10-14,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,23706431,roofing company,BROAD,ENABLED,3.0,BELOW_AVERAGE,AVERAGE,BELOW_AVERAGE,,,192,6,181.814144,0.0,0.0,30.302357333333333
2025-10-15,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,10940511,roofing contractor,BROAD,ENABLED,2.0,AVERAGE,BELOW_AVERAGE,BELOW_AVERAGE,,,120,3,48.453984,0.0,0.0,16.151328
2025-10-15,22180269024,Roofing Services 2025 - ECT/OCS,175978645804,Local Roofing Contractors,23706431,roofing company,BROAD,ENABLED,3.0,BELOW_AVERAGE,AVERAGE,BELOW_AVERAGE,,,26,2,28.94,0.0,0.0,14.47
2025-10-15,22180269024,Roofing Services 2025 - ECT/OCS,180002095411,New Roof Installation,23706431,roofing company,BROAD,ENABLED,3.0,BELOW_AVERAGE,AVERAGE,BELOW_AVERAGE,,,241,6,122.42,0.0,0.0,20.403333333333332
